Timer started ...
MOD: delay(30 30), type(tBUF), from(valid.OUT), to(valid.PAD)
NET: delay(0 0), type(   ), from(load.PAD), to(u0_q1_1_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_31_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_30_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_29_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_28_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_27_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_26_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_25_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_24_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_23_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_22_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_21_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_20_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_19_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_18_.D.X1 )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_17_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_16_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_15_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_14_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_13_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_12_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_11_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_10_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_9_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_8_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_7_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_6_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_5_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_4_.T )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_2_.D.X1 )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_1_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(serial_out.D )
NET: delay(0 0), type(   ), from(send.PAD), to(u0_q1_7_.D )
NET: delay(0 0), type(   ), from(send.PAD), to(u0_q1_6_.D )
NET: delay(0 0), type(   ), from(send.PAD), to(u0_q1_5_.D )
NET: delay(0 0), type(   ), from(send.PAD), to(u0_q1_4_.D )
NET: delay(0 0), type(   ), from(send.PAD), to(u0_q1_3_.D )
NET: delay(0 0), type(   ), from(send.PAD), to(u0_q1_2_.D )
NET: delay(0 0), type(   ), from(send.PAD), to(u0_q1_1_.D )
NET: delay(0 0), type(   ), from(send.PAD), to(u2_q.D )
NET: delay(0 0), type(   ), from(send.PAD), to(serial_out.D )
NET: delay(0 0), type(   ), from(clk.PAD), to(u0_q1_7_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u0_q1_6_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u0_q1_5_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u0_q1_4_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u0_q1_3_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u0_q1_2_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u0_q1_1_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_31_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_30_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_29_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_28_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_27_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_26_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_25_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_24_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_23_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_22_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_21_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_20_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_19_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_18_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_17_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_16_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_15_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_14_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_13_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_12_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_11_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_10_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_9_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_8_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_7_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_6_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_5_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_4_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_3_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_2_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_1_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_cnt_int_count_0_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u1_q_3_.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(u2_q.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(serial_out.C )
NET: delay(0 0), type(   ), from(clk.PAD), to(sample_clk )
NET: delay(0 0), type(   ), from(rst_bar.PAD), to(u0_q1_7_.AR )
NET: delay(0 0), type(   ), from(rst_bar.PAD), to(u0_q1_6_.AR )
NET: delay(0 0), type(   ), from(rst_bar.PAD), to(u0_q1_5_.AR )
NET: delay(0 0), type(   ), from(rst_bar.PAD), to(u0_q1_4_.AR )
NET: delay(0 0), type(   ), from(rst_bar.PAD), to(u0_q1_3_.AR )
NET: delay(0 0), type(   ), from(rst_bar.PAD), to(u0_q1_2_.AR )
NET: delay(0 0), type(   ), from(rst_bar.PAD), to(u0_q1_1_.AR )
NET: delay(0 0), type(   ), from(rst_bar.PAD), to(u2_q.AR )
NET: delay(0 0), type(   ), from(rst_bar.PAD), to(serial_out.AR )
NET: delay(0 0), type(   ), from(d_6_.PAD), to(u0_q1_6_.D )
NET: delay(0 0), type(   ), from(d_5_.PAD), to(u0_q1_5_.D )
NET: delay(0 0), type(   ), from(d_4_.PAD), to(u0_q1_4_.D )
NET: delay(0 0), type(   ), from(d_3_.PAD), to(u0_q1_3_.D )
NET: delay(0 0), type(   ), from(d_2_.PAD), to(u0_q1_2_.D )
NET: delay(0 0), type(   ), from(d_1_.PAD), to(u0_q1_1_.D )
NET: delay(0 0), type(   ), from(d_0_.PAD), to(serial_out.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u0_q1_7_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u0_q1_6_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u0_q1_5_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u0_q1_4_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u0_q1_3_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u0_q1_2_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u0_q1_1_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_31_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_30_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_29_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_28_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_27_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_26_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_25_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_24_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_23_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_22_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_21_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_20_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_19_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_18_.D.X1 )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_17_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_16_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_15_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_14_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_13_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_12_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_11_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_10_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_9_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_8_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_7_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_6_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_5_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_4_.T )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_2_.D.X1 )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_1_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(u2_q.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(serial_out.D )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(sample_clk )
NET: delay(0 0), type(   ), from(u2_q.Q ), to(valid )
NET: delay(0 0), type(   ), from(u1_q_3_.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_q_3_.Q ), to(sample_clk )
NET: delay(0 0), type(   ), from(u1_q_3_.Q ), to(valid )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_n_109_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_n_85_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_n_58_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_13_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_12_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_11_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_10_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_9_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_8_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_7_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_6_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_5_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_4_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_2_.D.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_1_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_un5_count_28_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_un5_count_27_n.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_un5_count_27_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_0_.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_un5_count_26_n.OUT), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_un5_count_26_n.OUT), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_un5_count_27_n.OUT), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_un5_count_27_n.OUT), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_un5_count_27_n.OUT), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_un5_count_27_n.OUT), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_un5_count_28_n.OUT), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_un5_count_28_n.OUT), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_n_109_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_n_85_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_n_58_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_13_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_12_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_11_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_10_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_9_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_8_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_7_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_6_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_5_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_4_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_2_.D.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_1_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_un5_count_28_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_un5_count_27_n.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_un5_count_27_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_1_.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_n_109_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_n_85_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_n_58_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_13_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_12_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_11_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_10_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_9_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_8_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_7_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_6_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_5_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_4_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_2_.D.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_un5_count_28_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_un5_count_27_n.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_un5_count_27_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_2_.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_n_109_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_n_85_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_n_58_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_13_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_12_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_11_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_10_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_9_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_8_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_7_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_6_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_5_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_4_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_un5_count_28_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_un5_count_27_n.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_un5_count_27_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_3_.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_n_109_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_n_85_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_n_58_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_13_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_12_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_11_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_10_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_9_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_8_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_7_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_6_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_5_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_un5_count_28_n.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_un5_count_28_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_un5_count_27_n.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_4_.Q ), to(u1_cnt_int_un5_count_27_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_n_109_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_n_85_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_n_58_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_13_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_12_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_11_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_10_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_9_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_8_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_7_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_6_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_un5_count_28_n.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_un5_count_28_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_un5_count_27_n.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_5_.Q ), to(u1_cnt_int_un5_count_27_n.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_n_109_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_n_85_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_n_58_n )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_cnt_int_count_13_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_cnt_int_count_12_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_cnt_int_count_11_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_cnt_int_count_10_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_cnt_int_count_9_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_cnt_int_count_8_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_cnt_int_count_7_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_6_.Q ), to(u1_cnt_int_count_3_.T.X1 )
